Date,Open,High,Low,Close,Volume,OpenInt
19991118,44.59010,48.99998,39.20002,43.12002,45652885,0
19991119,42.08123,42.14009,39.01390,39.57245,11119471,0
19991122,40.48378,43.12002,39.25887,43.12002,4801217,0
19991123,41.65003,42.74768,39.20002,39.20002,4361628,0
19991124,39.31765,41.10130,39.20002,40.23880,3535096,0
19991126,40.06261,40.67021,39.93506,40.36626,1262345,0
19991129,40.18004,41.59116,39.74885,41.27780,2974179,0
19991130,41.16007,42.08123,40.12118,41.34628,3145914,0
19991201,41.34628,42.57140,41.04244,42.08123,2158568,0
19991202,42.87513,44.10015,42.32640,43.23774,2240710,0
19991203,44.04117,44.77622,43.42376,43.61008,2220099,0
19991206,44.34512,45.51127,44.28626,44.83519,1642854,0
19991207,44.83519,45.08007,43.42376,44.34512,1617447,0
19991208,44.34512,44.70763,43.91383,44.28626,1377959,0
19991209,44.34512,45.02131,44.34512,44.89385,1481017,0
19991210,44.77622,45.02131,43.85505,43.85505,1215099,0
19991213,44.59010,45.32505,43.49245,44.59010,2934588,0
19991214,44.47238,44.47238,41.21883,42.14009,1699895,0
19991215,41.16007,41.46391,40.18004,40.85622,2129690,0
19991216,41.16007,46.30497,41.16007,46.30497,1886017,0
19991217,45.45250,46.17772,44.53125,45.02131,2706527,0
19991220,45.32505,46.00123,45.19770,45.94257,873571,0
19991221,45.75634,45.75634,45.08007,45.68765,1649181,0
19991222,45.68765,46.60882,45.38391,46.60882,1391019,0
19991223,46.55016,48.99998,46.49119,48.75508,1576221,0
19991227,48.94130,52.12636,48.56888,51.75382,1481426,0
19991228,53.16516,60.27011,52.86130,60.27011,2598465,0
19991229,61.74020,77.47897,61.68124,70.56012,7677539,0
19991230,74.48023,78.40023,72.76517,77.66509,4869278,0
19991231,77.91007,78.34127,74.72511,75.76390,1409589,0
20000103,77.17512,77.36134,66.03244,70.56012,3411832,0
20000104,66.75775,67.50252,63.45506,65.17013,3478056,0
20000105,64.92516,65.17013,59.10386,61.13251,4203258,0
20000106,60.38773,60.76008,56.95770,58.80003,1849895,0
20000107,57.87896,64.62131,57.82010,63.70006,2058057,0
20000110,67.62005,68.22764,66.20883,67.56129,1568159,0
20000111,67.56129,67.56129,65.11137,66.64003,1354692,0
20000112,66.64003,66.64003,62.77899,65.28776,1043673,0
20000113,67.01246,68.41376,64.68017,66.26769,827958,0
20000114,65.66019,67.99248,65.66019,67.01246,961223,0
20000118,67.24772,71.42252,66.75775,70.07016,1534078,0
20000119,70.56012,70.56012,68.41376,68.60008,1915915,0
20000120,69.33521,69.46257,66.15027,66.75775,1465612,0
20000121,67.73768,67.99248,65.11137,67.37507,1400202,0
20000124,67.12999,70.37401,66.64003,67.12999,1529793,0
20000125,67.37507,68.22764,65.11137,66.33629,842142,0
20000126,66.58136,67.86504,66.52240,66.94397,746223,0
20000127,68.48255,69.09014,65.90508,67.07142,633979,0
20000128,68.11011,68.11011,66.09130,66.69899,1174590,0
20000131,66.20883,66.26769,63.45506,64.86629,759388,0
20000201,64.92516,70.56012,64.92516,69.58020,1024998,0
20000202,70.44249,74.97009,70.12884,74.97009,1419795,0
20000203,73.68641,76.19510,72.33386,76.19510,1298874,0
20000204,76.19510,76.19510,73.50020,74.72511,836223,0
20000207,76.13633,78.40023,74.72511,77.91007,930100,0
20000208,79.13517,80.54630,76.68516,77.42000,853773,0
20000209,76.06774,77.11637,74.17639,74.23504,863365,0
20000210,75.46005,77.23379,73.80394,75.15621,778673,0
20000211,74.97009,75.27394,73.31379,73.87254,548672,0
20000214,73.74509,75.40120,73.31379,74.91132,611427,0
20000215,75.02895,81.34010,75.02895,80.24255,1472651,0
20000216,78.40023,80.24255,77.79254,79.38015,1315100,0
20000217,79.38015,95.06016,76.06774,95.06016,689693,0
20000218,86.73010,93.96251,86.29899,91.87510,2963464,0
20000222,94.08024,95.43250,88.20008,89.67017,1626223,0
20000223,89.78780,98.49030,89.78780,97.02001,1233569,0
20000224,99.35250,113.13132,98.49030,104.61523,2157854,0
20000225,101.31255,111.66134,101.18519,105.95777,1494997,0
20000228,105.95777,107.00648,96.28517,98.98006,1222857,0
20000229,99.41146,104.74259,99.28390,101.80271,699285,0
20000301,102.41021,109.51526,102.16513,106.93779,757550,0
20000302,107.74133,107.80019,100.45025,103.19428,867348,0
20000303,102.84140,109.51526,102.84140,105.84014,887448,0
20000306,110.74007,158.76021,110.25010,155.82034,4155709,0
20000307,152.88016,157.78018,128.38022,139.16021,5628154,0
20000308,143.08020,148.96006,137.20025,148.96006,2886015,0
20000309,144.06024,150.92021,142.10028,149.94029,1835405,0
20000310,149.94029,151.78260,137.20025,139.16021,1809691,0
20000313,127.45907,136.16137,126.91024,128.62521,1917243,0
20000314,130.34028,133.28025,116.50249,118.95261,2571425,0
20000315,125.55768,125.55768,110.98514,111.96517,2223465,0
