Date,Open,High,Low,Close,Volume,OpenInt
20131218,19.18,19.79,18.9,18.9,15024025,0
20131219,18.9,19.49,18.81,19.49,1605769,0
20131220,19.65,19.77,19.4,19.68,737577,0
20131223,19.79,19.99,19.5,19.74,698142,0
20131224,19.74,19.82,19.5,19.53,213659,0
20131226,19.55,19.9,19.35,19.78,416470,0
20131227,19.93,20.59,19.53,20.14,758233,0
20131230,20.1,20.14,19.82,19.98,246833,0
20131231,19.96,20.72,19.96,20.55,313909,0
20140102,20.62,20.94,19.96,20.18,425814,0
20140103,20.1,20.28,19.78,20.02,299793,0
20140106,20.05,20.1,19.81,20.01,509721,0
20140107,20.04,20.17,19.93,20.05,856772,0
20140108,20.1,20.1,19.89,19.96,498381,0
20140109,19.96,20.05,19.81,20.03,290220,0
20140110,20.05,20.15,19.99,20.04,660075,0
20140113,19.9,20.01,19.75,19.98,392556,0
20140114,19.86,20.34,19.75,20.12,215815,0
20140115,20.18,20.3,19.81,19.99,311799,0
20140116,19.92,20.49,19.9,20.3,279340,0
20140117,20.18,20.49,20.04,20.24,131424,0
20140121,20.4,21,20.32,20.85,620251,0
20140122,20.94,21.49,20.92,21.26,326833,0
20140123,21.27,21.27,20.5,21.27,154254,0
20140124,21.27,21.61,20.8,21.37,408969,0
